"Item","Plat","Status"
"Sentient Concourse Scene","39","Offline"
"Neo G2 Radiant","39","Offline"
"Primed Expel Infested","39","Online"
"Sacrifice","39","Online"
"Axi N1 Radiant","39","Offline"
"Sancti Magistar","39","Online"
"Growing Power","39","Online"
"Hammer Shot","39","Online"
"Bulkhead (Vidar)","39","Online"
"Energy Conversion","39","Online"
"Neo B3 Intact","39","Online"
"Meso F2 Radiant","39","Offline"
"Arcane Flux Nova Helmet","39","Online"
"Lua Containment Scene","39","Offline"
"Meso F2 Exceptional","39","Offline"
"Chamber Of The Lotus Scene","39","Offline"
"Kogake Prime Set","39","Online"
"Akbolto Prime Set","39","Online"
"Telos Boltor","39","Online"
"Axi R1 Intact","39","Offline"
"Wolf Sledge Motor","38","Online"
"Pathocyst Blade","38","Online"
"Electrified Barrel","38","Online"
"Axi V9 Intact","38","Online"
"Axi K2 Radiant","38","Offline"
"Augur Secrets","38","Online"
"Lato Vandal Blueprint","38","Online"
"Silva & Aegis Prime Set","38","Online"
"Primed Pressure Point","38","Online"
"Hyperstrike (Vidar)","37","Online"
"Redeemer Prime Set","37","Online"
"Pressurized Magazine","37","Online"
"Twin Vipers Wraith Set","37","Online"
"Galatine Prime Set","37","Online"
"Tekko Prime Blade","36","Online"
"Volt Prime Chassis","34","Online"
"Rathbone Set","34","Online"
"Strun Wraith Blueprint","34","Online"
"Valkyr Prime Chassis","34","Online"
"Gladiator Vice","34","Online"
"Venka Prime Gauntlet","34","Online"
"Bo Prime Ornament","34","Online"
"Axi V4 Radiant","34","Offline"
"Meso V3 Radiant","34","Offline"
"Telos Boltace","34","Online"
"Synoid Heliocor","34","Online"
"Neo A1 Radiant","34","Offline"
"Synoid Gammacor","34","Online"
"Nekros Prime Neuroptics","34","Online"
"Carrier Prime Set","34","Online"
"Energy Amplifier","34","Online"
"Harrow's Temple Scene","34","Online"
"Color Key Scene","34","Offline"
"Amaryn's Retreat Scene","34","Online"
"Empowered Blades","34","Online"
"Ergo's Boardroom Scene","34","Online"
"Quick Reload","34","Offline"
"Sanctuary Conduit Scene","34","Online"
"Vengeful Revenant","34","Online"
"Out Of Sight","34","Online"
"Grineer Shipyards Manufactory Scene","34","Online"
"Corpus Gas City Conduit Scene","34","Online"
"Axi S2 Radiant","34","Online"
"Veil's Binding Scene","34","Online"
"Rakta Cernos","34","Online"
"Ion Burn (Lavan)","34","Online"
"Medi-Ray","34","Online"
"Scindo Prime Set","34","Online"
"Xiphos Avionics","34","Online"
"Meso S4 Radiant","34","Offline"
"Axi B1 Radiant","34","Offline"
"Shell Rush","34","Online"
"Meso S2 Radiant","34","Offline"
"Axi O1 Radiant","34","Offline"
"Mycona Colony Scene","34","Online"
"Silver Grove Shrine Scene","34","Online"
"Hunhow's Chamber Scene","34","Online"
"Boar Prime Stock","34","Online"
"Rakta Dark Dagger","33","Online"
"Secura Penta","33","Online"
"Neo G1 Radiant","33","Offline"
"Rakta Ballistica","33","Online"
"Secura Dual Cestra","33","Online"
"Wolf Sledge Blueprint","33","Online"
"Vauban Prime Systems","33","Online"
"Dakra Prime Set","33","Online"
"Sancti Castanas","32","Online"
"Sicarus Prime Receiver","32","Online"
"Reaper Prime Handle","32","Online"
"Blaze","31","Online"
"Ripper Rounds","30","Buying"
"Zephyr Prime Set","29","Online"
"Infested Ship Bridge Scene","29","Online"
"Shedu Chassis","29","Online"
"Neo K1 Radiant","29","Offline"
"Ballistica Prime Set","29","Online"
"Shedu Receiver","29","Online"
"Piercing Caliber","29","Online"
"Sheev Set","29","Online"
"Overcharge Detectors","29","Offline"
"Meso D1 Intact","29","Online"
"Soma Prime Stock","29","Online"
"Corpus Ice Planet Wreckage Scene","29","Offline"
"Winged Cyclone (Lavan)","29","Offline"
"Suda's Datascape Scene","29","Offline"
"Axi A1 Radiant","29","Offline"
"Telos Akbolto","29","Online"
"Arcane Avalon Excalibur Helmet","29","Online"
"Relentless Assault","29","Offline"
"Neo S5 Radiant","29","Offline"
